date,cyclic_index,frame,lon_jupiter,lon_saturn,lon_uranus,lon_neptune,lon_pluto
1920-01-01,797.8526137123531,heliocentric,130.53008818275603,156.25032616242981,331.12060798059395,129.9749173577701,96.73349950841538
1920-01-08,799.2690425165366,heliocentric,131.08862678779283,156.49736833464425,331.19613956175874,130.01741213348163,96.75533430241003
1920-01-15,800.6843292423571,heliocentric,131.64641698761469,156.74402751786585,331.27138774683203,130.0596262351117,96.77689213746996
1920-01-22,802.0984791668544,heliocentric,132.20392381649387,156.9907655865793,331.34681470529847,130.10202174023732,96.7986351143475
1920-01-29,803.5114977015371,heliocentric,132.76075382770972,157.23718589375457,331.4220240670547,130.14420219728288,96.82016680364106
1920-02-05,804.9233904149291,heliocentric,133.31734228913635,157.4837204643889,331.4974481100834,130.18659981638302,96.84191943597729
1920-02-12,806.3341630721886,heliocentric,133.87322106490205,157.72989787451243,331.5726156289443,130.22874334307474,96.86342177437588
1920-02-19,807.7438216932582,heliocentric,134.4287968641265,157.97612149897884,331.64793016614425,130.27103629672246,96.885077350332
1920-02-26,809.1523725732276,heliocentric,134.98374163144246,158.22205991483304,331.7230604047835,130.3131473641483,96.90655485487821
1920-03-04,810.5598220555344,heliocentric,135.53840897219254,158.46806337130198,331.79835668661525,130.3554268864708,96.92820462911212
1920-03-11,811.9661761303485,heliocentric,136.0924451394357,158.71377480233667,331.87346212993106,130.39751792791296,96.9496697466671
1920-03-18,813.3714406080044,heliocentric,136.64616512739394,158.95950585367257,331.9486886318806,130.43973230581824,96.9712620451837
1920-03-25,814.775621572152,heliocentric,137.1993379900626,159.20502215565372,332.0238020286766,130.48183580844432,96.99274733096374
1920-04-01,816.1787254363986,heliocentric,137.75219261298764,159.4505491158035,332.09902786405166,130.52405396768742,97.01435114654018
1920-04-08,817.5807588329151,heliocentric,138.3045156432197,159.69586987211855,332.1741493656835,130.5661700199704,97.0358567331972
1920-04-15,818.9817285346677,heliocentric,138.85650274892004,159.94117656240843,332.2493587332032,130.60837618405023,97.05745631079138
1920-04-22,820.3816414182271,heliocentric,139.40804013496128,160.18635184288658,332.32453866637707,130.65055518443134,97.07903260235724
1920-04-29,821.7805044495007,heliocentric,139.9592082476228,160.43147259314253,332.3997660741192,130.69278395857293,97.1006625418958
1920-05-06,823.1783246878492,heliocentric,140.50994070271943,160.67646884278295,332.4749710005877,130.734992583473,97.12227620099007
1920-05-13,824.5751093142657,heliocentric,141.06029769484152,160.92139717774597,332.5502100247153,130.77723767841283,97.14393019073937
1920-05-20,825.9708656768518,heliocentric,141.61029300555577,161.16626774837633,332.62549325586855,130.81952940475605,97.16563465963769
1920-05-27,827.365601237831,heliocentric,142.15985663713613,161.41100692362014,332.7007469966138,130.86179411799566,97.18731594522693
1920-06-03,828.7593232017069,heliocentric,142.70906144961452,161.65568397715904,332.7760405168714,130.90410109313473,97.20904330904871
1920-06-10,830.1520382389989,heliocentric,143.2578321835382,161.9002201062483,332.8512951503571,130.9463715955107,97.23073801992997
1920-06-17,831.5437528771506,heliocentric,143.80631146584383,162.14475436442197,332.9266501412789,130.98874478434743,97.25253925041162
1920-06-24,832.9344738250071,heliocentric,144.3542929081881,162.38907673850122,333.0018956378187,131.03101074349405,97.2742370963671
1920-07-01,834.3242079393829,heliocentric,144.90197244762925,162.63337950910122,333.0772240556113,131.07336183700312,97.29602393142778
1920-07-08,835.7129621373887,heliocentric,145.44915507855848,162.8774639958803,333.1524368429876,131.1155994628654,97.31770116275686
1920-07-15,837.100743355594,heliocentric,145.9961035273892,163.1215892356296,333.2277931691041,131.15798273674696,97.33952791611775
1920-07-22,838.4875585445711,heliocentric,146.54249874118253,163.3654324697547,333.3029704130239,131.20018898133927,97.36118152562777
1920-07-29,839.8734146864452,heliocentric,147.08863944607688,163.60928869935503,333.3782637146847,131.24251328042956,97.3829570875246
1920-08-05,841.2583188358265,heliocentric,147.6342372015052,163.85286573423434,333.45338101394196,131.28466352369904,97.40456250388432
