date,cyclic_index,frame,lon_jupiter,lon_saturn,lon_uranus,lon_neptune,lon_pluto,segment,kernel
2026-07-22,842.4409905705294,heliocentric,125.85258187999477,8.770125695523864,62.22016168274031,2.593978110006632,304.25827016746376,forecast,de440s.bsp
2026-08-05,844.7147883793405,heliocentric,126.9786314884416,9.247269360888051,62.38061780661024,2.679333142467153,304.32252196291444,forecast,de440s.bsp
2026-08-19,846.9847345664215,heliocentric,128.10269397543522,9.724849606747538,62.541119837319215,2.7646960863577026,304.386750443186,forecast,de440s.bsp
2026-09-02,849.2508752188393,heliocentric,129.22463418750263,10.202708073355328,62.70150978275819,2.849908813581279,304.4507975472599,forecast,de440s.bsp
2026-09-16,851.5132571706973,heliocentric,130.34465080909783,10.68102027558611,62.8619632915824,2.935146801669291,304.5148387136623,forecast,de440s.bsp
2026-09-30,853.7719301961627,heliocentric,131.46265910384253,11.15967669931148,63.02237135087472,3.0203007441339214,304.578764612502,forecast,de440s.bsp
2026-10-14,856.0269450329521,heliocentric,132.57884826480128,11.63884084978914,63.182898153593285,3.1055346091167615,304.64273929280176,forecast,de440s.bsp
2026-10-28,858.2783529004555,heliocentric,133.69317090378513,12.1184390866521,63.34347080719994,3.1907753708623514,304.70668988989496,forecast,de440s.bsp
2026-11-11,860.5262056173749,heliocentric,134.80577063548304,12.59858805031039,63.5042068168066,3.2761405027649424,304.77073414083725,forecast,de440s.bsp
2026-11-25,862.7705528950893,heliocentric,135.91659693412944,13.079210610154268,63.66502972621614,3.3615538633272393,304.8347963494737,forecast,de440s.bsp
2026-12-09,865.0114418140321,heliocentric,137.0257350450873,13.56036718683576,63.825999886154996,3.447076312148908,304.8989377120773,forecast,de440s.bsp
2026-12-23,867.2489213301855,heliocentric,138.13310133660977,14.041948933334268,63.98700831002356,3.5325992114209095,304.9630497701197,forecast,de440s.bsp
2027-01-06,869.4830415067698,heliocentric,139.23875528722428,14.523989670152016,64.14808868661466,3.6181565608281714,305.02716665962583,forecast,de440s.bsp
2027-01-20,871.7138533679744,heliocentric,140.34259725361272,15.006363844547217,64.30911527957223,3.703622881915882,305.09116296728183,forecast,de440s.bsp
2027-02-03,873.94140981555,heliocentric,141.44470612824443,15.489123701108568,64.47014025698753,3.7890504805645504,305.1550909968924,forecast,de440s.bsp
2027-02-17,876.1657648039009,heliocentric,142.54501766830012,15.972177534231959,64.63107201412936,3.874347916011096,305.21885936446796,forecast,de440s.bsp
2027-03-03,878.3869707530952,heliocentric,143.64363779766956,16.455604851922363,64.79198973967945,3.959594647576096,305.2825475132253,forecast,de440s.bsp
2027-03-17,880.6050829998876,heliocentric,144.74057366877136,16.93938571020411,64.9528732411892,4.0447704352013325,305.3461349748154,forecast,de440s.bsp
